Step X = 0,1052631578947368421052631579
Step Y = 0,1052631578947368421052631579
84	87	82	69	90	84	79	71	92	81	76	80	66	91	82	91	78	97	98	63
90	88	71	79	90	89	72	88	97	82	75	92	87	79	87	79	72	92	93	70
82	93	62	81	91	90	78	66	98	87	91	93	100	89	66	84	94	85	102	85
90	107	91	97	64	85	82	91	98	95	98	77	82	94	103	93	98	83	76	100
84	67	100	98	97	76	98	67	86	80	78	65	87	93	65	93	78	77	55	59
80	57	64	55	74	64	68	59	58	55	75	66	58	55	68	66	70	59	60	68
68	64	61	118	127	141	214	207	181	204	203	181	223	171	169	119	73	63	60	60
68	91	763	1064	797	950	749	872	1030	917	817	822	865	811	715	453	82	66	62	64
71	218	510	274	67	65	77	60	62	61	59	56	72	134	541	425	81	68	72	66
73	196	533	270	60	66	64	63	64	67	63	65	69	140	550	450	81	67	55	75
64	180	659	254	63	59	66	62	58	65	55	64	59	140	508	436	70	57	56	63
65	198	464	255	73	60	63	49	60	50	62	63	61	126	399	389	71	60	63	64
63	187	483	248	80	65	67	68	65	63	55	63	54	77	427	349	86	61	61	57
64	162	420	237	108	57	62	68	59	62	51	75	68	96	466	466	84	55	69	60
62	168	452	223	74	57	51	67	67	72	60	57	61	115	501	460	71	59	53	67
57	168	525	271	67	52	60	55	58	85	74	57	62	110	490	438	79	60	55	64
57	170	498	302	71	61	60	218	1338	1567	875	53	56	95	461	381	88	75	72	65
70	174	466	303	91	846	1329	1292	1191	1419	152	82	57	89	455	443	99	65	65	64
56	152	602	387	1484	1411	1252	816	438	180	173	202	194	308	664	507	87	80	121	61
79	151	583	926	1583	1265	1052	758	922	831	808	825	862	861	748	165	62	68	81	67
