Step X = 0,0153846153846153846153846154
Step Y = 0,0179487179487179487179487179
80	62	63	70	62	70	85	74	92	81	69	83	72	67	71	57	68	84	65	73	67	89	61	73	67	70	83	68	80	89	67	67	72	57	80	58	70	81	70	71
68	59	62	77	70	75	79	72	90	81	72	59	63	67	77	72	70	88	63	65	82	81	74	86	82	79	75	66	63	87	62	65	68	72	66	67	68	67	69	66
64	66	60	65	72	79	67	76	68	72	64	68	83	65	76	76	79	68	67	69	82	89	89	75	60	71	61	71	73	75	67	87	71	77	75	73	66	77	81	75
70	78	70	70	74	90	75	82	74	85	69	83	73	76	73	81	69	90	80	76	75	74	83	71	86	71	76	78	82	75	78	79	74	71	73	75	79	82	79	74
68	67	71	75	72	71	78	61	77	78	74	83	68	61	86	81	78	57	71	68	78	60	66	70	76	81	84	84	71	85	58	78	70	82	81	82	76	73	76	86
65	64	79	73	83	70	82	89	70	85	73	75	74	76	77	93	69	73	86	81	69	82	75	79	79	70	81	85	68	83	70	76	75	69	71	58	57	80	65	72
93	118	105	106	125	117	96	109	119	106	122	116	132	131	123	136	130	126	126	131	107	110	104	90	93	109	110	103	80	81	79	69	75	83	70	62	91	86	64	73
151	167	147	170	234	168	202	149	198	200	215	169	206	188	181	239	167	156	175	198	171	217	201	172	217	207	167	156	139	162	136	115	124	113	86	87	83	62	71	69
267	296	262	355	301	331	322	310	316	263	254	285	315	295	345	344	349	307	316	261	238	352	317	288	264	268	324	242	209	213	179	174	149	154	101	107	100	78	59	70
496	462	443	471	632	379	520	444	430	577	500	533	492	407	539	588	448	564	532	484	487	462	505	597	433	414	479	325	414	290	318	236	193	167	157	140	107	99	78	76
553	591	584	840	746	661	602	797	678	598	650	689	737	758	829	763	811	612	707	814	569	791	620	621	678	580	542	609	460	474	311	339	279	237	188	133	125	119	92	75
1159	934	973	812	966	798	760	1197	1274	1162	992	999	890	883	1136	1108	777	1028	1189	1249	1038	979	774	849	1029	779	717	681	541	519	458	365	366	237	233	196	138	107	109	86
