Step X = 0,0217948717948717948717948718
Step Y = 0,0128205128205128205128205128
283	200	220	131	84	69	59	62	60	64	63	60	58	66	62	61	72	74	55	67	60	70	57	66	59	60	61	62	59	70	60	61	63	69	57	57	54	57	59	64
307	235	159	129	95	57	61	58	62	62	55	63	76	52	60	58	74	68	56	62	67	60	58	59	62	73	55	63	55	62	55	54	70	58	64	63	68	55	57	58
305	224	172	123	80	51	57	62	69	55	61	51	65	62	64	68	68	68	68	92	59	70	66	58	71	54	56	56	86	63	59	57	68	62	64	59	62	63	84	69
258	204	179	127	89	56	68	68	64	63	59	51	57	63	62	53	62	64	59	68	62	70	66	55	59	63	61	57	54	63	59	65	65	62	55	63	55	58	82	70
283	219	170	129	82	63	54	60	53	61	67	74	64	69	63	69	56	61	55	62	64	64	69	59	57	65	58	57	71	62	65	69	69	64	62	63	66	58	59	65
329	242	155	111	70	60	59	70	59	62	59	71	62	61	69	57	61	54	56	62	56	63	65	60	60	60	66	48	54	61	64	61	54	62	66	54	80	66	62	56
295	239	196	111	72	56	59	57	60	65	67	61	76	60	59	65	62	77	66	53	55	58	64	58	65	61	60	67	65	63	58	73	64	58	80	65	52	58	61	53
316	264	179	122	82	74	66	60	56	64	52	49	72	57	55	57	60	57	58	60	73	60	61	89	70	60	73	66	91	78	87	114	93	79	88	85	50	60	61	54
277	242	176	115	82	53	55	64	54	61	54	69	58	71	57	67	62	63	55	62	48	61	65	65	61	63	62	88	112	151	148	180	168	166	121	128	74	66	70	77
253	206	213	107	67	57	63	54	56	61	71	60	58	74	67	61	53	62	60	64	55	59	69	59	60	71	107	144	210	239	267	297	276	235	193	165	118	72	62	64
270	229	159	120	66	58	57	61	63	68	52	64	67	60	66	61	54	54	58	52	60	64	60	70	82	163	219	280	348	430	452	456	539	420	336	238	205	101	70	57
343	229	185	131	77	67	69	64	64	62	61	66	56	54	77	57	56	74	51	61	67	52	64	86	123	212	345	487	639	649	712	831	811	573	462	339	204	132	84	67
309	235	162	122	81	73	62	57	56	56	68	61	67	56	64	83	66	62	65	67	65	66	92	139	224	378	615	690	1021	1292	1320	1390	1164	836	755	521	301	201	106	69
292	244	166	114	98	60	61	59	57	60	60	61	60	54	68	72	61	61	65	63	60	81	153	231	365	595	1012	1274	1504	1312	1531	1287	1603	1452	988	744	407	242	108	78
329	222	175	131	94	59	63	67	61	60	53	53	57	59	57	66	59	65	68	78	69	137	176	352	747	1039	1231	1533	1534	1558	1364	1461	1459	1288	1443	924	479	221	118	97
273	225	194	120	100	66	72	50	57	55	62	64	62	58	65	71	61	62	64	60	93	222	321	551	1051	1318	1531	1509	1609	1270	1221	1342	1268	1192	1335	869	523	284	133	77
251	255	176	133	72	90	67	60	61	60	67	66	67	71	55	65	80	60	64	74	159	291	572	893	1274	1482	1339	1612	1442	1421	1469	1516	1341	1340	1555	966	626	261	102	56
290	281	202	128	74	65	62	55	61	60	66	59	58	58	61	60	66	72	80	121	212	441	762	1184	1336	1365	1538	1568	1816	1546	1471	1296	1369	1413	1335	1047	497	244	95	60
328	237	175	140	76	67	62	56	63	62	55	68	71	63	71	67	74	93	137	165	340	616	1153	1434	1413	1539	1568	1473	1327	1845	1302	1522	1369	1389	1409	997	435	194	76	56
297	253	181	150	87	66	61	58	59	55	60	64	76	75	97	125	139	147	218	268	526	863	1334	1339	1246	1370	1153	1280	1403	1331	1674	1596	1051	1292	1383	782	442	143	69	57
310	236	173	125	88	57	59	60	75	69	66	91	125	154	209	223	210	246	318	459	642	1103	1360	1463	1615	1398	1355	1579	1508	1603	1428	1742	1467	1581	1301	573	293	139	69	64
279	278	239	132	76	59	64	60	63	78	128	150	241	263	343	382	409	366	472	531	973	1261	1557	1440	1298	1352	1185	1383	1334	1454	1278	1639	1488	1312	906	548	188	84	57	61
306	236	195	162	87	62	58	61	95	135	181	306	414	579	586	646	631	923	684	817	1200	1407	1389	1441	1276	1330	1775	1431	1974	1083	1423	1590	1121	1623	726	323	120	59	62	60
359	297	180	172	86	75	62	99	127	243	331	561	622	783	939	1008	932	956	1094	1082	1225	1505	1512	1248	1201	1475	1626	1553	1403	1424	1322	1414	1773	924	445	198	72	58	57	60
308	237	203	148	100	92	100	149	227	352	563	708	1095	1181	1260	1188	1700	1264	1301	1303	1166	1336	1292	1857	1323	1547	1351	1279	1326	1273	1463	1556	1445	645	379	97	70	60	69	56
