Step X = 0,01
Step Y = 0,01
69	68	72	75	84	69	79	69	63	74	74	77	72	79	78	82	75	69	72	78	82	77	76	67	83	67	84	75	84	72	72
69	76	71	81	83	73	68	81	70	77	75	81	67	74	72	69	74	79	70	76	61	71	78	76	75	70	64	69	73	69	71
81	66	72	76	73	80	78	68	79	75	67	75	84	69	72	73	84	69	81	63	77	74	74	82	71	78	75	79	79	75	88
74	63	73	77	73	70	78	77	79	74	70	69	64	62	68	82	68	59	67	72	82	77	89	67	75	66	61	70	78	65	72
66	57	80	66	72	68	64	73	75	70	75	77	78	70	76	82	71	83	73	77	76	68	82	71	71	74	75	62	72	77	81
78	82	71	77	77	72	78	81	76	78	71	81	81	71	86	78	64	78	69	63	83	62	68	81	76	68	78	75	76	72	70
93	81	65	77	75	71	67	69	79	73	78	79	67	76	82	79	71	76	64	72	79	81	76	80	70	80	73	84	75	81	79
78	82	79	81	80	75	74	71	75	76	99	89	142	132	146	135	153	129	115	127	85	95	83	72	74	85	72	81	77	77	78
74	81	64	69	82	74	67	90	90	127	181	208	243	299	295	281	281	249	268	226	180	132	103	78	74	83	75	64	68	75	83
69	79	77	76	70	79	87	96	137	209	282	332	420	470	368	410	471	475	476	432	320	236	161	104	81	69	71	79	66	75	79
69	74	70	82	69	75	80	165	233	359	394	507	639	752	776	775	731	781	611	619	420	408	254	155	91	74	76	70	68	78	70
73	66	77	78	68	63	99	195	282	473	567	863	990	1049	903	1087	959	1113	925	828	762	509	336	219	123	71	77	80	74	67	71
73	82	68	78	75	84	116	213	406	502	708	986	1163	1410	1433	1104	1288	1207	1309	1223	906	583	424	294	155	92	74	69	66	71	64
83	74	71	73	82	75	147	230	372	715	742	1176	1229	1205	1477	1288	1597	1328	1445	1308	1000	822	566	365	183	109	80	80	86	78	84
69	96	74	72	79	110	163	289	524	722	974	1055	1331	1513	1664	1791	1601	1782	1415	1500	1362	888	597	368	219	83	92	88	84	70	87
66	62	71	70	74	94	162	267	499	803	1228	1610	1615	1656	1748	1653	1730	1524	1981	1583	1294	868	567	420	196	127	74	63	89	71	73
77	90	72	79	82	99	198	348	526	820	1142	1448	1954	1850	1639	1941	1777	1834	1393	1491	1338	996	759	457	260	122	88	82	91	82	87
68	92	86	90	102	110	189	342	515	849	1286	1424	1749	1809	1911	1715	1970	1878	1773	1524	1339	947	604	439	185	121	91	80	85	86	91
87	84	89	77	79	92	131	237	393	641	714	1138	1311	1707	1731	1720	1769	1545	1654	1355	1057	759	623	325	167	101	80	80	82	73	77
76	90	87	73	87	83	147	192	380	641	887	996	1265	1685	1407	1261	1271	1363	1289	1020	1040	644	533	254	185	101	72	77	77	76	68
72	72	80	70	73	68	115	208	321	410	606	788	1105	1206	1179	1239	1124	1130	1120	914	785	568	346	233	151	78	77	82	75	64	72
70	79	72	81	59	71	99	142	249	358	505	644	696	879	779	886	841	637	737	653	600	439	300	183	128	80	74	67	78	76	76
69	76	88	68	68	78	66	115	173	225	329	420	434	546	610	585	634	570	462	394	347	253	183	121	79	72	89	64	66	74	66
82	72	74	77	81	82	77	89	125	154	196	220	254	291	351	322	335	317	309	273	191	174	117	91	86	82	84	70	78	85	81
81	79	75	75	71	76	84	78	88	86	104	154	168	167	168	183	164	177	156	124	128	86	78	66	75	78	68	82	72	81	82
74	69	75	76	78	70	79	73	76	70	83	93	89	96	79	93	85	82	83	80	79	71	76	77	76	76	66	79	79	78	62
74	75	83	70	79	75	74	81	71	66	78	85	75	90	89	68	87	80	82	72	77	75	67	67	65	70	69	80	69	68	70
81	68	83	67	69	77	88	84	69	73	75	79	77	74	75	80	72	77	81	68	79	76	66	62	78	79	70	74	78	76	75
71	75	74	73	70	74	76	81	74	74	78	64	81	75	74	72	74	73	75	76	92	75	80	80	72	83	81	85	71	78	78
85	67	80	73	74	69	72	86	74	68	74	86	80	76	75	74	71	68	79	74	54	80	76	68	68	76	76	77	71	56	75
66	71	71	68	76	72	83	75	69	73	86	65	77	81	85	79	82	81	86	83	76	66	74	70	75	78	81	68	86	69	83
