Step X = 0,0833333333333333333333333333
Step Y = 0,0833333333333333333333333333
80	76	64	71	77	75	70	75	72	73	76	66	63	65	63	63	84	64	62	72	68	76	59	66	72
65	70	69	74	63	75	75	75	73	75	73	71	56	70	74	71	64	79	69	75	81	72	76	73	81
72	67	69	72	74	82	72	55	78	65	71	79	77	64	74	72	81	66	78	79	67	66	74	67	75
69	67	67	62	80	78	73	58	73	84	70	72	75	71	70	79	73	61	60	70	78	62	73	80	72
76	64	67	67	69	78	71	70	73	66	81	92	73	81	61	69	70	75	72	77	70	70	76	71	67
71	59	63	66	79	81	74	61	64	64	74	60	73	60	59	74	73	66	84	72	84	78	71	72	67
71	73	67	64	71	85	63	78	69	72	67	65	67	59	69	68	71	62	74	75	60	67	68	75	74
64	56	76	66	67	78	68	71	91	73	71	75	76	65	66	82	76	77	79	61	63	76	75	65	76
65	65	78	72	73	88	69	78	81	76	82	76	79	65	71	74	76	68	71	81	77	66	72	58	84
79	72	73	78	67	85	76	69	74	63	65	71	77	66	61	59	71	80	69	75	83	69	77	75	63
63	66	77	71	74	96	58	68	76	76	61	72	76	78	78	69	66	67	60	69	67	76	73	73	74
62	340	1545	586	69	163	53	67	72	80	70	70	74	61	66	62	78	75	73	62	65	63	73	63	61
75	341	1641	569	61	155	66	64	79	70	84	68	70	69	84	71	68	79	62	67	72	58	51	60	83
95	74	74	67	65	71	71	73	76	80	71	75	69	69	74	76	66	72	69	82	76	72	60	72	74
74	79	72	55	69	121	85	81	75	66	72	73	65	59	79	69	68	68	76	60	70	63	70	81	73
66	79	64	53	73	135	71	70	84	72	78	72	76	77	78	71	67	80	81	71	71	72	64	87	70
68	59	82	76	69	180	78	83	62	65	66	76	66	71	64	78	78	81	70	70	70	83	64	70	76
65	77	70	56	71	185	77	67	67	72	68	77	77	60	70	72	72	70	70	70	82	80	77	73	77
72	70	75	66	68	173	77	66	73	67	77	76	61	65	76	73	73	73	83	68	69	76	65	58	66
164	170	163	172	163	185	72	60	77	68	71	70	74	77	79	66	63	64	72	72	69	63	74	70	76
80	69	63	70	76	67	76	63	83	70	67	76	65	60	70	73	77	68	67	65	82	72	63	67	58
71	79	78	66	61	70	64	62	82	69	69	81	67	74	64	71	69	59	73	70	72	69	75	67	68
75	68	67	71	62	75	77	56	74	68	60	86	75	72	66	91	78	73	72	72	60	69	71	77	69
57	73	65	78	72	69	78	73	70	73	97	73	84	67	61	59	78	80	71	72	69	67	73	76	60
67	76	68	66	78	78	71	68	71	63	86	75	72	62	74	63	70	63	75	69	65	64	72	77	64
